iter	MultiClass
260	0.7804873059
261	0.779992639
262	0.7796121204
263	0.7791318002
264	0.7786754857
265	0.7781246296
266	0.7775222222
267	0.7770328191
268	0.7765292128
269	0.7760633338
270	0.7755522271
271	0.7750655754
272	0.7745218889
273	0.7739444284
274	0.7735594733
275	0.7730958981
276	0.7726351076
277	0.7721893973
278	0.7719046753
279	0.7714812084
280	0.7708851508
281	0.770391025
282	0.7699137671
283	0.7695264504
284	0.7689594613
285	0.7686608708
286	0.7682260015
287	0.7678160219
288	0.7673565076
289	0.7669798549
290	0.7665240548
291	0.7660723206
292	0.765544513
293	0.7651151292
294	0.7646934372
295	0.7642276224
296	0.7639330936
297	0.7636179529
298	0.7631041401
299	0.7626173503
300	0.7622008938
301	0.7617362088
302	0.7614071637
303	0.7609519684
304	0.7605493396
305	0.7600923168
306	0.7595925555
307	0.7591849746
308	0.7588163996
309	0.7584287841
310	0.7579518436
311	0.7573792206
312	0.7568905641
313	0.7565779636
314	0.7563380494
315	0.7558806106
316	0.7554154126
317	0.7548837923
318	0.7545236602
319	0.7541294921
320	0.7537452138
321	0.753296245
322	0.7529895242
323	0.7525231573
324	0.7521902457
325	0.7518716944
326	0.7515060538
327	0.751175219
328	0.7508513689
329	0.7505038153
330	0.7502137546
331	0.749837875
332	0.749441583
333	0.749043279
334	0.7486057074
335	0.7482121854
336	0.7477673524
337	0.7474801555
338	0.7471096212
339	0.7467919257
340	0.7463131597
341	0.745837159
342	0.7454941625
343	0.7450980575
344	0.7447432795
345	0.7443290091
346	0.7439151879
347	0.7434419304
348	0.7431563515
349	0.742801681
350	0.7423579941
351	0.7420843894
352	0.7417878672
353	0.7414078942
354	0.7410833264
355	0.7406424389
356	0.7403668656
357	0.7400506735
358	0.7397816861
359	0.7394210509
360	0.7392109301
361	0.7389376116
362	0.7386788094
363	0.7382767595
364	0.7380030003
365	0.7374888956
366	0.7371647968
367	0.7368996005
368	0.7365445218
369	0.7362403112
370	0.7359564176
371	0.7356363544
372	0.735234206
373	0.734853125
374	0.7346213689
375	0.7342339696
376	0.7339380813
377	0.7335207057
378	0.7330587558
379	0.7326812443
380	0.7323757902
381	0.7320786955
382	0.7317717609
383	0.731468071
384	0.7311493479
385	0.7308016453
386	0.7304883333
387	0.7300489505
388	0.7297178695
389	0.7294580607
390	0.7291306932
391	0.7287824714
392	0.7285130939
393	0.7282593026
394	0.7278973202
395	0.7276350643
396	0.7273904861
397	0.7271726981
398	0.7268071788
399	0.726416658
400	0.7261306211
401	0.7257771973
402	0.7254826429
403	0.7251131633
404	0.7247629703
405	0.7243766005
406	0.7240941107
407	0.7237575809
408	0.7233958828
409	0.7231196318
410	0.7228166374
411	0.7225071701
412	0.7222362895
413	0.7219726491
414	0.7217283792
415	0.7213515456
416	0.7210410914
417	0.7207744952
418	0.7205258636
419	0.7201935319
420	0.7200521318
421	0.719771049
422	0.719493215
423	0.7191881203
424	0.7188414306
425	0.7185224857
426	0.7183039971
427	0.7179748674
428	0.7177710462
429	0.717375509
430	0.7170719914
431	0.716711747
432	0.7164695031
433	0.7161813008
434	0.7158256976
435	0.7155425394
436	0.7152536513
437	0.7150481522
438	0.7147797239
439	0.7144749349
440	0.7141052658
441	0.7137879692
442	0.7134182734
443	0.7131492414
444	0.7128849004
445	0.7125894439
446	0.7123136458
447	0.7120665358
448	0.7118083766
449	0.7115537576
450	0.7113879949
451	0.7111355091
452	0.7109155393
453	0.7105352586
454	0.7101973861
455	0.7099674263
456	0.7096883821
457	0.7094868257
458	0.7091400338
459	0.7089093184
460	0.7086537615
461	0.7083751974
462	0.7081502209
463	0.7079059379
464	0.7077148633
465	0.7075223793
466	0.7072427093
467	0.7070549575
468	0.706726543
469	0.7063947209
470	0.7062003237
471	0.7058783714
472	0.705612423
473	0.7053560593
474	0.7051668772
475	0.7047715395
476	0.7045726741
477	0.7042222544
478	0.7039328446
479	0.703794987
480	0.7034029021
481	0.7030131569
482	0.7026872856
483	0.7023822093
484	0.7020902751
485	0.7017893991
486	0.7014455171
487	0.7011866643
488	0.7009768439
489	0.7007769997
490	0.7004772132
491	0.700197511
492	0.6999476023
493	0.6997232689
494	0.6994062929
495	0.6991760001
496	0.6988483555
497	0.6985939051
498	0.6984051346
499	0.6981045168
500	0.6978728329
501	0.6976816965
502	0.6973882263
503	0.6971428763
504	0.6968478918
505	0.6965145562
506	0.6961317476
507	0.6958769732
508	0.6955067688
509	0.6951606106
510	0.6949163513
511	0.6946361918
512	0.6944462775
513	0.6942512643
514	0.6939609304
515	0.6938221295
516	0.6936174743
517	0.6934113359
518	0.6932136576
519	0.6929557232
520	0.6927636582
521	0.6925226751
522	0.6923157794
523	0.6920356365
524	0.6917544076
525	0.6914872162
526	0.6913373783
527	0.6909692585
528	0.6906264838
529	0.6903566012
530	0.6901696759
531	0.6898491304
532	0.6896030429
533	0.6894358292
534	0.6892321407
535	0.6890787767
536	0.6888958845
537	0.6886945272
538	0.6884042507
539	0.6881157354
540	0.6878973318
541	0.6876400419
542	0.6873277708
543	0.6870354061
544	0.6868331827
545	0.6865542141
546	0.6863881366
547	0.686189627
548	0.6859404579
549	0.6858216923
550	0.6855884759
551	0.6854234659
552	0.6851347131
553	0.6848623401
554	0.6845741495
555	0.6843644621
556	0.6840670087
557	0.6837837439
558	0.6836562068
559	0.6834144984
560	0.6832110571
561	0.6829961664
562	0.6827759382
563	0.6824781055
564	0.682236041
565	0.6820659018
566	0.6818475488
567	0.6816538574
568	0.6814075727
569	0.681181324
570	0.6809460662
571	0.6806667247
572	0.6804214361
573	0.6801939242
574	0.679945977
575	0.6797864902
576	0.6795300854
577	0.679327194
578	0.6790704823
579	0.6789560703
580	0.6786802808
581	0.6784412548
582	0.6781785265
583	0.6779563087
584	0.6777951925
585	0.6776486844
586	0.6773484392
587	0.6771961915
588	0.6769095136
589	0.6767535429
590	0.6764399201
591	0.6762520931
592	0.6759700071
593	0.6757747097
594	0.6755310405
595	0.6753531538
596	0.6751699498
597	0.6749793136
598	0.6748040666
599	0.6745451373
600	0.6744218906
601	0.6741564492
602	0.6739767563
603	0.6737899107
604	0.6736196643
605	0.6733510147
606	0.6731563071
607	0.6728774373
608	0.6727452464
609	0.6724826305
610	0.672240748
611	0.6720759753
612	0.6716979848
613	0.6714215422
614	0.6711983717
615	0.6710699331
616	0.6708598326
617	0.6706909986
618	0.6704938894
619	0.6703529363
620	0.670182674
621	0.6700413829
622	0.6698674228
623	0.6696692672
624	0.6695325449
625	0.6692947499
626	0.6690874896
627	0.668855762
628	0.6686994904
629	0.6685557306
630	0.6683894676
631	0.6681716981
632	0.6680184918
633	0.6678519807
634	0.66763039
635	0.6674712127
636	0.6672732214
637	0.6671327207
638	0.6669797648
639	0.6668246814
640	0.6666379534
641	0.6663446272
642	0.6661579309
643	0.6659104465
644	0.6657592986
645	0.6654912878
646	0.6653659919
647	0.6652349845
648	0.6650836573
649	0.6648505587
650	0.6647050856
651	0.6645442174
652	0.6643474174
653	0.6640521208
654	0.6637927763
655	0.6635662289
656	0.6633692545
657	0.6631497799
658	0.6629682467
659	0.6627511204
660	0.6626433264
661	0.6624081366
662	0.6622536574
663	0.661949963
664	0.6617999678
665	0.6616863379
666	0.6614328684
667	0.661281056
668	0.6611101593
669	0.6609147548
670	0.6607082168
671	0.6605048809
672	0.66033301
673	0.6600862661
674	0.6598898563
675	0.6597427496
676	0.6595690813
677	0.659406692
678	0.6592491994
679	0.6590928008
680	0.6588593589
681	0.6586946799
682	0.6586216179
683	0.6583870743
684	0.6581942356
685	0.6579970195
686	0.6578270601
687	0.6576575562
688	0.65744497
689	0.6572333518
690	0.6571035261
691	0.6568897536
692	0.6567133583
693	0.6565508052
694	0.6563842687
695	0.6561965552
696	0.6560183423
697	0.6558777058
698	0.6557005929
699	0.6555028736
700	0.6553836165
701	0.6552499989
702	0.6551219832
703	0.6549929478
704	0.6547594205
705	0.6546262303
706	0.6543813472
707	0.6542362499
708	0.6540855351
709	0.653918738
710	0.6536806261
711	0.6534861565
712	0.6533073776
713	0.6531480739
714	0.6530569222
715	0.6529201151
716	0.6527940098
717	0.652610596
718	0.6524026772
719	0.6520446109
720	0.651852565
721	0.651654684
722	0.651445771
723	0.6513738123
724	0.651166444
725	0.6509973996
726	0.65084585
727	0.6506994979
728	0.6505632845
729	0.6503894797
730	0.6500549451
731	0.649821135
732	0.6496220103
733	0.6493758923
734	0.6492086175
735	0.6490716763
736	0.6488892959
737	0.648689878
738	0.6485343206
739	0.648422571
740	0.6482601157
741	0.6481272381
742	0.6479398267
743	0.6477204853
744	0.6475951269
745	0.64744522
746	0.6472508762
747	0.6470955125
748	0.6469526819
749	0.6467639695
750	0.64658994
751	0.6464400744
752	0.6462796086
753	0.6461161598
754	0.6459959025
755	0.6458378313
756	0.6456400788
757	0.6455429379
758	0.6453752603
759	0.6452032975
760	0.6451363009
761	0.6450454243
762	0.6449782125
763	0.6447922198
764	0.6446067636
765	0.6444907993
766	0.6443529511
767	0.6441992974
768	0.6440487359
769	0.6439219005
770	0.6438118536
771	0.6436086723
772	0.6434850613
773	0.6433790179
774	0.6431348266
775	0.6429660698
776	0.6428049779
777	0.6426743421
778	0.6424599477
779	0.6422373334
780	0.642050467
781	0.6419459958
782	0.6417320348
783	0.6414884618
784	0.6413029111
785	0.6411208855
786	0.6409558372
787	0.6406945649
788	0.6405159991
789	0.6404447869
790	0.6402901934
791	0.640122775
792	0.6399989616
793	0.6398290771
794	0.6396848537
795	0.6394772478
796	0.6392836191
797	0.6391429419
798	0.6389382807
799	0.6387448154
800	0.6384947066
801	0.6382892499
802	0.6379710412
803	0.6378096628
804	0.6376622176
805	0.6374755086
806	0.6372587562
807	0.6371137555
808	0.6370434468
809	0.6368452639
810	0.636685311
811	0.6365436357
812	0.6363771637
813	0.6361145369
814	0.6359569556
815	0.6356988267
816	0.6355513377
817	0.6353689522
818	0.6352543194
819	0.6351762851
820	0.6350081988
821	0.6348456614
822	0.6347021831
823	0.6344868852
824	0.634377159
825	0.6342390553
826	0.6341033427
827	0.63389898
828	0.6337732361
829	0.6336257303
830	0.6334905469
831	0.6333985276
832	0.6332353145
833	0.6330780083
834	0.6329273209
835	0.6326524105
836	0.6324862245
837	0.6323794108
838	0.6322411437
839	0.6320593358
840	0.6318983823
841	0.6318024906
842	0.6316858384
843	0.63151092
844	0.6313967097
845	0.6312369963
846	0.6311127019
847	0.6309376699
848	0.6307554272
849	0.6305797522
850	0.6304958376
851	0.6303966336
852	0.6302194902
853	0.6301344042
854	0.6299518328
855	0.6298377204
856	0.6295873227
857	0.6294627772
858	0.6292586086
859	0.6290577029
860	0.6289158701
861	0.6287241568
862	0.628615921
863	0.6285410072
864	0.6284605639
865	0.6282597757
866	0.6280138552
867	0.6278392111
868	0.6275959741
869	0.6274991816
870	0.6273831354
871	0.6272365464
872	0.6271443089
873	0.6269337366
874	0.6268003943
875	0.6266520457
876	0.6265341006
877	0.6263292174
878	0.626167134
879	0.6260584689
880	0.625973004
881	0.6258480866
882	0.625725987
883	0.6255509894
884	0.6253967753
885	0.6252808914
886	0.6251351609
887	0.6249688993
888	0.6247936942
889	0.6245775257
890	0.624416962
891	0.6242973821
892	0.6241859498
893	0.6238545066
894	0.6236172271
895	0.6233623437
896	0.6232110162
897	0.6230627834
898	0.6229283219
899	0.622752557
900	0.622636996
901	0.6224514148
902	0.6223240694
903	0.6221695009
904	0.6219904528
905	0.6218160083
906	0.6217096192
907	0.6215535073
908	0.6213844593
909	0.6210815209
910	0.620996824
911	0.62083742
912	0.6207084731
913	0.620535193
914	0.6204409236
915	0.6203385924
916	0.6201477133
917	0.620007047
918	0.6199211795
919	0.6196955377
920	0.6194578378
921	0.6193412064
922	0.6191868205
923	0.619073628
924	0.6189690357
925	0.618846793
926	0.6187556232
927	0.6185808062
928	0.6184426811
929	0.6183276559
930	0.6182279285
931	0.6179651095
932	0.617744771
933	0.6176557739
934	0.6175070085
935	0.617321955
936	0.6172142102
937	0.6171282401
938	0.6169873618
939	0.6169029129
940	0.6167060065
941	0.616622059
942	0.6165297761
943	0.6163947299
944	0.6162680273
945	0.6161478792
946	0.6159850543
947	0.61578655
948	0.6155468101
949	0.6153855853
950	0.6152764634
951	0.6150929655
952	0.6149461864
953	0.6148049834
954	0.614645909
955	0.614573917
956	0.6143854269
957	0.6142683893
958	0.6141416758
959	0.6138933523
960	0.613769823
961	0.613617605
962	0.6134186377
963	0.6132761811
964	0.6130179888
965	0.6128378294
966	0.6126939985
967	0.6125503454
968	0.6124434429
969	0.6123309351
970	0.6122059059
971	0.6120696701
972	0.6118804225
973	0.6116246974
974	0.6114914493
975	0.6113494579
976	0.6112817104
977	0.6111605771
978	0.6110499372
979	0.610935286
980	0.6107978103
981	0.6107271703
982	0.6105515155
983	0.610454339
984	0.6102297924
985	0.6101133529
986	0.6100331713
987	0.6098098788
988	0.6097021035
989	0.6095422581
990	0.6094178735
991	0.609272621
992	0.6091643592
993	0.6090449045
994	0.6089377554
995	0.6088083611
996	0.6086827035
997	0.6085398814
998	0.6083952256
999	0.6082517744
